   1.0000000e-01 # T
   1.0000000e+00 # sp
   1.0000000e+00 # sv
   3.0000000e+00 # sz
   1.0000000e+02 # N
   4.6079601e+01  -1.2534149e+00   2.0456415e+02
   4.7647097e+01   5.1526749e-01   2.0195965e+02
   4.7569700e+01   7.1964638e+00   2.0672186e+02
   5.1894570e+01   7.0896300e+00   2.0245256e+02
   5.5330848e+01   4.0241918e+00   2.0057042e+02
   5.8482753e+01   2.6463118e+00   1.9956549e+02
   6.0187677e+01   3.8688189e+00   2.0430097e+02
   6.3701031e+01   6.3170060e+00   1.9907367e+02
   6.4440864e+01   4.7055805e+00   1.9898730e+02
   6.9918868e+01   1.3322128e+01   1.9865658e+02
   7.0276541e+01   6.9001861e+00   2.0382833e+02
   7.4056870e+01  -1.7352277e+00   2.0350427e+02
   7.4026141e+01   6.4014289e+00   2.0034463e+02
   7.9918219e+01   4.5209014e+00   1.9982183e+02
   7.9849498e+01   8.7769041e+00   2.0235631e+02
   8.8336738e+01   8.0599839e+00   1.9910116e+02
   8.6629994e+01   1.2622806e+01   2.0300778e+02
   9.2530481e+01   9.2119876e+00   2.0280483e+02
   9.1573337e+01   1.7078718e+01   2.0320057e+02
   9.3004032e+01   1.2641287e+01   2.0024781e+02
   9.8391329e+01   1.4891770e+01   2.0185941e+02
   9.5784111e+01   1.5913491e+01   1.9604040e+02
   1.1223867e+02   1.7097193e+01   1.9917252e+02
   1.1239428e+02   1.6164795e+01   2.0370013e+02
   1.0980253e+02   2.2081163e+01   2.0081284e+02
   1.1087787e+02   1.7136619e+01   2.0232707e+02
   1.1319425e+02   2.4893569e+01   1.9966448e+02
   1.1940184e+02   1.4380846e+01   2.0762046e+02
   1.2068999e+02   2.1812784e+01   2.0206033e+02
   1.2365506e+02   2.3797292e+01   2.0364206e+02
   1.2603711e+02   1.9726911e+01   2.0295894e+02
   1.3290371e+02   1.9791463e+01   2.0417197e+02
   1.4279483e+02   2.4778443e+01   2.0276620e+02
   1.3568544e+02   2.5785705e+01   1.9965646e+02
   1.4426876e+02   2.4491563e+01   2.0248120e+02
   1.4065534e+02   2.5981700e+01   2.0291438e+02
   1.4043049e+02   2.7550636e+01   2.0474339e+02
   1.4631076e+02   3.1150410e+01   1.9901664e+02
   1.5271955e+02   3.1174051e+01   2.0263731e+02
   1.5369802e+02   3.3363988e+01   2.0754662e+02
   1.6600616e+02   3.3655320e+01   1.9607253e+02
   1.6059588e+02   3.6256765e+01   2.0558174e+02
   1.6145638e+02   3.8705923e+01   1.9884672e+02
   1.6542279e+02   3.4373362e+01   2.0277993e+02
   1.7023576e+02   4.2317060e+01   2.0109640e+02
   1.6841246e+02   3.3930802e+01   2.0420263e+02
   1.7383002e+02   3.9739410e+01   2.0497436e+02
   1.7803937e+02   3.9452639e+01   2.0233204e+02
   1.8452585e+02   3.7720080e+01   1.9875825e+02
   1.8661345e+02   4.1777824e+01   1.9746812e+02
   1.8760198e+02   4.2797500e+01   2.0270466e+02
   1.8876660e+02   4.6505026e+01   2.0482420e+02
   1.9553596e+02   4.6282070e+01   2.0542602e+02
   1.9859116e+02   4.5218153e+01   1.9875524e+02
   1.9976397e+02   4.9436074e+01   1.9701752e+02
   2.0612080e+02   4.9175023e+01   2.0036885e+02
   2.0564954e+02   5.1374253e+01   2.0363412e+02
   2.0443037e+02   5.3032008e+01   2.0046814e+02
   2.0704476e+02   4.9867287e+01   2.0141732e+02
   2.1035085e+02   5.7744314e+01   2.0349914e+02
   2.1506436e+02   6.0125996e+01   2.0225181e+02
   2.2373246e+02   5.2783917e+01   2.0541354e+02
